                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.4656,                0.79801,                0.92608,                0.88801,                0.76114,                0.86292,                0.46302,                 1.6905,                 1.0651,                0.96788,               0.001109,               0.001109,               0.001109
                     93,                 1.4797,                0.78521,                0.91689,                0.82356,                0.80628,                0.86142,                0.45381,                 1.7154,                0.94609,                0.97333,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.4867,                0.79842,                0.91387,                0.81472,                 0.8211,                0.87115,                0.46632,                 1.6718,                 1.0118,                0.96191,              0.0010892,              0.0010892,              0.0010892
                     95,                 1.4549,                0.79324,                0.91855,                0.82826,                0.80454,                0.86505,                0.45124,                 1.7627,                 1.0334,                0.98194,              0.0010793,              0.0010793,              0.0010793
                     96,                 1.4458,                0.78615,                0.91791,                 0.8337,                0.78742,                0.85078,                0.44643,                 1.7838,                 1.1023,                0.98232,              0.0010694,              0.0010694,              0.0010694
                     97,                 1.4537,                0.76755,                0.90723,                0.83757,                0.82795,                0.86835,                0.47494,                 1.7293,                 1.1211,                0.99305,              0.0010595,              0.0010595,              0.0010595
                     98,                 1.4568,                0.76643,                0.91272,                0.86166,                0.79232,                 0.8772,                0.47274,                 1.7377,                 1.0519,                0.98243,              0.0010496,              0.0010496,              0.0010496
                     99,                 1.4389,                0.76438,                0.91642,                0.85783,                0.79058,                  0.861,                0.45917,                 1.6772,                 1.0025,                0.98526,              0.0010397,              0.0010397,              0.0010397
                    100,                 1.4428,                0.76757,                0.91246,                0.82744,                0.78883,                 0.8515,                0.44348,                 1.6848,                0.93537,                0.97226,              0.0010298,              0.0010298,              0.0010298
                    101,                 1.4424,                0.76596,                0.91117,                0.84733,                0.78883,                0.87544,                0.47228,                 1.6932,                 1.0882,                0.97671,              0.0010199,              0.0010199,              0.0010199
                    102,                 1.4414,                0.76198,                 0.9185,                0.83857,                0.77312,                0.84949,                0.44176,                 1.8311,                 1.1477,                 1.0021,                0.00101,                0.00101,                0.00101
                    103,                 1.4281,                0.74597,                0.91054,                0.82781,                 0.7836,                0.84727,                0.44376,                 1.7424,                 1.0367,                0.98712,              0.0010001,              0.0010001,              0.0010001
                    104,                 1.4365,                0.76815,                0.91362,                0.82276,                0.81013,                0.85621,                0.44789,                 1.7558,                0.96656,                0.97854,              0.0009902,              0.0009902,              0.0009902
                    105,                 1.4195,                0.76528,                0.91277,                0.84574,                0.81675,                0.87266,                0.46921,                 1.7094,                0.99303,                0.97325,              0.0009803,              0.0009803,              0.0009803
                    106,                 1.4175,                0.74807,                0.92142,                 0.8758,                0.76265,                0.86502,                 0.4657,                 1.7591,                 1.0591,                 0.9708,              0.0009704,              0.0009704,              0.0009704
                    107,                 1.4269,                0.76626,                0.91206,                 0.8712,                0.79407,                0.86343,                0.45579,                 1.7493,                 1.0375,                0.98018,              0.0009605,              0.0009605,              0.0009605
                    108,                 1.4111,                0.74582,                0.90274,                0.85355,                 0.7934,                0.86365,                0.44621,                 1.7386,                 1.0179,                0.98111,              0.0009506,              0.0009506,              0.0009506
                    109,                 1.4294,                0.76085,                0.90952,                0.81917,                0.81428,                0.85295,                0.45361,                 1.7264,                 1.2159,                0.98275,              0.0009407,              0.0009407,              0.0009407
                    110,                 1.4417,                0.76424,                0.90917,                0.84201,                0.79059,                0.86199,                 0.4498,                 1.7267,                 1.0167,                0.97781,              0.0009308,              0.0009308,              0.0009308
                    111,                 1.4265,                 0.7407,                0.91032,                 0.8574,                 0.7993,                0.86951,                0.47272,                 1.7038,                  1.056,                0.97577,              0.0009209,              0.0009209,              0.0009209
                    112,                 1.3946,                0.72068,                 0.9011,                0.85087,                 0.7866,                0.85841,                0.44577,                  1.769,                 1.1364,                0.98486,               0.000911,               0.000911,               0.000911
                    113,                 1.3965,                0.72105,                0.90464,                 0.8221,                0.81152,                0.85781,                0.44517,                 1.7752,                 1.0716,                0.98551,              0.0009011,              0.0009011,              0.0009011
                    114,                 1.3967,                 0.7397,                0.90802,                0.86164,                0.80428,                0.86593,                0.47447,                 1.6848,                 1.2104,                0.96823,              0.0008912,              0.0008912,              0.0008912
                    115,                 1.3712,                0.70924,                0.90498,                0.85638,                0.78046,                0.85699,                0.45913,                 1.7243,                 1.3184,                0.97899,              0.0008813,              0.0008813,              0.0008813
                    116,                 1.4155,                 0.7307,                0.90838,                0.85031,                0.79309,                0.86759,                0.46243,                 1.7267,                 0.9631,                0.97389,              0.0008714,              0.0008714,              0.0008714
                    117,                 1.3911,                 0.7219,                0.90688,                0.85917,                0.82024,                0.87127,                0.47829,                 1.7076,                 1.0883,                0.97225,              0.0008615,              0.0008615,              0.0008615
                    118,                 1.3816,                0.72645,                 0.9056,                0.84843,                0.77487,                0.84696,                0.44179,                 1.7761,                 1.0582,                0.99285,              0.0008516,              0.0008516,              0.0008516
                    119,                 1.4124,                0.72345,                0.90174,                0.82851,                0.80098,                0.84839,                0.44305,                 1.7904,                 1.0291,                0.99227,              0.0008417,              0.0008417,              0.0008417
                    120,                  1.391,                0.72368,                0.90463,                 0.8542,                 0.7975,                0.87518,                0.48134,                 1.7631,                 1.0685,                0.98108,              0.0008318,              0.0008318,              0.0008318
                    121,                  1.387,                0.70368,                0.89614,                0.84363,                0.81916,                0.86968,                0.47415,                 1.7726,                0.94234,                0.97688,              0.0008219,              0.0008219,              0.0008219
                    122,                 1.3801,                0.71103,                0.90071,                0.86217,                0.77511,                0.86273,                0.47139,                 1.7556,                 1.0672,                 0.9836,               0.000812,               0.000812,               0.000812
                    123,                 1.3791,                0.71592,                0.90238,                0.80379,                0.82024,                 0.8598,                0.46334,                 1.7551,                0.99237,                0.97827,              0.0008021,              0.0008021,              0.0008021
                    124,                 1.3731,                0.70373,                   0.89,                0.84717,                0.82231,                 0.8746,                0.47226,                 1.7742,                 1.0454,                 0.9888,              0.0007922,              0.0007922,              0.0007922
                    125,                 1.3657,                0.71131,                0.90108,                0.84087,                0.79307,                0.85784,                 0.4525,                 1.7488,                 1.1471,                0.98163,              0.0007823,              0.0007823,              0.0007823
                    126,                 1.3842,                0.70481,                0.90315,                0.83117,                0.81675,                0.87216,                0.47858,                 1.7453,                  1.336,                0.97927,              0.0007724,              0.0007724,              0.0007724
                    127,                 1.3688,                0.70493,                 0.8974,                0.85982,                0.79214,                0.86319,                0.47281,                 1.7355,                 1.1949,                0.97474,              0.0007625,              0.0007625,              0.0007625
                    128,                 1.3684,                0.71491,                0.90398,                0.85485,                0.79145,                0.86988,                0.47655,                 1.7058,                  1.058,                0.96966,              0.0007526,              0.0007526,              0.0007526
                    129,                 1.3595,                0.69849,                0.89719,                0.85609,                0.78902,                0.86367,                 0.4577,                 1.7142,                 1.0363,                0.96887,              0.0007427,              0.0007427,              0.0007427
                    130,                 1.3676,                0.69251,                 0.8961,                0.88306,                0.77138,                0.85873,                0.46912,                 1.7132,                 1.3396,                0.96987,              0.0007328,              0.0007328,              0.0007328
                    131,                 1.3543,                0.70506,                0.89379,                0.84577,                0.78476,                0.86008,                 0.4642,                 1.7345,                 1.1115,                0.97847,              0.0007229,              0.0007229,              0.0007229
                    132,                 1.3346,                0.69876,                0.89296,                0.85285,                0.82024,                0.87649,                0.48104,                 1.7057,                  1.172,                0.97253,               0.000713,               0.000713,               0.000713
                    133,                 1.3464,                 0.6868,                0.89032,                 0.8672,                0.81326,                0.87752,                0.48176,                 1.7114,                 1.1959,                0.97212,              0.0007031,              0.0007031,              0.0007031
                    134,                 1.3462,                0.70372,                0.90238,                0.85211,                0.77425,                0.84978,                0.44326,                 1.7816,                 1.2364,                 0.9838,              0.0006932,              0.0006932,              0.0006932
                    135,                 1.3565,                0.68744,                0.90074,                0.87483,                0.78061,                0.87026,                0.47774,                 1.6996,                 1.0977,                 0.9744,              0.0006833,              0.0006833,              0.0006833
                    136,                 1.3501,                 0.6986,                0.88969,                0.85703,                0.81152,                0.87498,                0.47124,                 1.7034,                 1.2481,                0.97066,              0.0006734,              0.0006734,              0.0006734
                    137,                 1.3295,                0.67885,                0.89628,                0.84165,                0.79776,                 0.8629,                0.45252,                 1.7658,                 1.2755,                0.98419,              0.0006635,              0.0006635,              0.0006635
                    138,                 1.3446,                 0.6845,                0.89278,                0.85753,                0.79832,                0.86335,                0.45892,                 1.7102,                 1.2623,                0.96856,              0.0006536,              0.0006536,              0.0006536
                    139,                 1.3217,                0.67221,                0.89284,                0.89184,                0.79581,                0.87304,                0.47322,                 1.7045,                 1.1914,                0.96422,              0.0006437,              0.0006437,              0.0006437
                    140,                 1.3266,                0.67667,                0.88889,                 0.8831,                0.77487,                0.86615,                0.46864,                 1.7185,                 1.3015,                0.96765,              0.0006338,              0.0006338,              0.0006338
                    141,                 1.3354,                 0.6688,                0.89403,                 0.8728,                0.76637,                0.86391,                0.46397,                 1.7287,                 1.2866,                0.97852,              0.0006239,              0.0006239,              0.0006239
                    142,                 1.3244,                0.66178,                0.89554,                0.87034,                0.78709,                0.87035,                0.46771,                 1.7356,                 1.2109,                0.98712,               0.000614,               0.000614,               0.000614
                    143,                 1.3457,                0.68238,                0.89506,                0.86684,                 0.7993,                0.87744,                0.48068,                 1.7172,                  1.096,                0.97056,              0.0006041,              0.0006041,              0.0006041
                    144,                 1.3232,                0.66903,                0.89613,                0.87531,                0.79407,                0.86285,                0.46617,                 1.7266,                 1.3525,                0.96797,              0.0005942,              0.0005942,              0.0005942
                    145,                 1.2996,                0.65717,                0.88653,                0.85097,                0.82711,                0.87044,                 0.4734,                  1.744,                 1.2452,                0.98172,              0.0005843,              0.0005843,              0.0005843
                    146,                 1.3188,                0.66195,                0.89681,                0.85512,                0.80348,                0.86132,                0.46144,                 1.7364,                 1.2659,                0.97909,              0.0005744,              0.0005744,              0.0005744
                    147,                  1.319,                0.67006,                0.88591,                0.87668,                0.79405,                0.85747,                 0.4704,                 1.7202,                 1.1424,                0.97279,              0.0005645,              0.0005645,              0.0005645
                    148,                  1.317,                 0.6549,                0.88756,                0.87603,                 0.7893,                0.86005,                0.45689,                 1.7715,                 1.2076,                 0.9788,              0.0005546,              0.0005546,              0.0005546
                    149,                 1.3075,                0.65213,                0.88757,                 0.8703,                0.80803,                0.86977,                0.47451,                 1.7309,                  1.149,                0.98004,              0.0005447,              0.0005447,              0.0005447
                    150,                 1.2957,                0.64345,                0.88635,                0.87489,                0.79756,                0.86724,                0.46999,                  1.774,                 1.3693,                 0.9887,              0.0005348,              0.0005348,              0.0005348
                    151,                 1.2995,                0.64775,                0.88959,                0.86941,                0.79058,                0.86249,                0.46359,                 1.7475,                 1.4204,                0.98597,              0.0005249,              0.0005249,              0.0005249
                    152,                 1.2909,                0.65474,                0.89436,                0.84859,                0.81501,                0.86099,                0.46705,                 1.7448,                 1.4182,                0.99403,               0.000515,               0.000515,               0.000515
                    153,                  1.287,                0.64628,                0.88812,                0.86754,                0.80628,                0.86858,                0.46872,                  1.761,                 1.2671,                0.99369,              0.0005051,              0.0005051,              0.0005051
                    154,                 1.2796,                0.63824,                0.87639,                0.85823,                0.80295,                0.85515,                0.45779,                 1.7776,                 1.3158,                0.98665,              0.0004952,              0.0004952,              0.0004952
                    155,                 1.2986,                0.65489,                0.88571,                0.83862,                0.82527,                0.86479,                0.47198,                 1.7248,                 1.0722,                0.97977,              0.0004853,              0.0004853,              0.0004853
                    156,                 1.2991,                0.63982,                0.87944,                0.83456,                0.81152,                0.86207,                0.46391,                 1.7369,                 1.1744,                0.97667,              0.0004754,              0.0004754,              0.0004754
                    157,                 1.2878,                0.64229,                0.88941,                0.86524,                0.81675,                0.87384,                0.47441,                 1.7481,                 1.1489,                0.97634,              0.0004655,              0.0004655,              0.0004655
                    158,                 1.2885,                0.64699,                0.87464,                0.86311,                0.81427,                0.86741,                0.47484,                 1.7387,                  1.158,                0.98398,              0.0004556,              0.0004556,              0.0004556
                    159,                 1.2877,                0.63623,                0.88744,                0.85869,                0.82024,                0.86867,                0.47475,                  1.731,                 1.2552,                0.98006,              0.0004457,              0.0004457,              0.0004457
                    160,                  1.287,                0.63712,                0.88626,                 0.8741,                 0.7997,                0.86156,                0.46236,                 1.7299,                 1.2274,                0.98325,              0.0004358,              0.0004358,              0.0004358
                    161,                 1.2966,                  0.644,                0.89213,                0.86952,                0.81152,                0.86439,                0.47656,                 1.7713,                 1.2762,                 1.0139,              0.0004259,              0.0004259,              0.0004259
                    162,                 1.2817,                0.63585,                0.87762,                0.86308,                0.80279,                0.86781,                0.46572,                 1.7479,                 1.2457,                 0.9912,               0.000416,               0.000416,               0.000416
                    163,                 1.2625,                 0.6296,                0.87773,                0.85258,                0.80747,                0.86387,                0.46205,                 1.7689,                 1.2295,                0.98937,              0.0004061,              0.0004061,              0.0004061
                    164,                 1.2858,                0.64221,                0.88404,                 0.8667,                0.80566,                 0.8666,                0.46767,                 1.7539,                 1.1978,                0.98946,              0.0003962,              0.0003962,              0.0003962
                    165,                 1.2759,                0.62498,                0.88323,                 0.8833,                0.79407,                0.87298,                0.46989,                 1.7303,                 1.1456,                0.98615,              0.0003863,              0.0003863,              0.0003863
                    166,                 1.2774,                0.63828,                 0.8784,                0.85773,                0.82069,                0.87052,                0.46921,                  1.726,                 1.3244,                0.99217,              0.0003764,              0.0003764,              0.0003764
                    167,                  1.253,                 0.6219,                0.87468,                0.89627,                 0.7836,                0.87728,                0.47367,                 1.7411,                  1.078,                0.98506,              0.0003665,              0.0003665,              0.0003665
                    168,                 1.2463,                0.60637,                0.87486,                0.87045,                0.80454,                0.87176,                0.47981,                 1.7087,                 1.1111,                0.97997,              0.0003566,              0.0003566,              0.0003566
                    169,                 1.2477,                0.60846,                0.87942,                0.87955,                0.80289,                0.87063,                0.47281,                 1.7379,                 1.1679,                0.98358,              0.0003467,              0.0003467,              0.0003467
                    170,                 1.2286,                0.59545,                0.87758,                0.84682,                0.83938,                0.87219,                0.46546,                 1.7266,                 1.1542,                0.97804,              0.0003368,              0.0003368,              0.0003368
                    171,                 1.2578,                0.60309,                0.88084,                0.85871,                0.83072,                  0.868,                0.46475,                 1.7415,                 1.1487,                0.98227,              0.0003269,              0.0003269,              0.0003269
                    172,                 1.2332,                0.61238,                 0.8784,                0.88464,                0.78964,                 0.8671,                0.47546,                  1.741,                  1.076,                0.98898,               0.000317,               0.000317,               0.000317
                    173,                 1.2501,                0.61309,                0.87784,                0.88723,                0.79058,                0.87064,                0.48009,                 1.7224,                 1.0888,                0.98511,              0.0003071,              0.0003071,              0.0003071
                    174,                 1.2366,                  0.612,                 0.8726,                0.85991,                0.80342,                0.86199,                0.47167,                 1.6984,                 1.1955,                0.97498,              0.0002972,              0.0002972,              0.0002972
                    175,                 1.2519,                0.61567,                0.87637,                0.86473,                0.82199,                0.86971,                0.47172,                 1.7555,                 1.1791,                0.99962,              0.0002873,              0.0002873,              0.0002873
                    176,                 1.2342,                 0.6072,                0.87229,                0.86488,                0.80977,                0.86541,                0.46929,                 1.7585,                 1.1003,                 1.0006,              0.0002774,              0.0002774,              0.0002774
                    177,                 1.2141,                0.59429,                0.87467,                0.84728,                0.81326,                0.86514,                 0.4684,                 1.7305,                   1.13,                0.98885,              0.0002675,              0.0002675,              0.0002675
                    178,                 1.2135,                0.59654,                0.87096,                0.86645,                0.80388,                0.86336,                 0.4706,                 1.7249,                 1.0735,                0.98838,              0.0002576,              0.0002576,              0.0002576
                    179,                 1.2202,                0.60082,                0.86875,                0.85534,                0.82024,                0.86751,                0.46636,                  1.741,                   1.14,                0.99993,              0.0002477,              0.0002477,              0.0002477
                    180,                 1.2076,                0.58752,                0.87626,                0.88023,                0.78237,                0.86859,                0.46993,                 1.7568,                 1.1424,                0.99952,              0.0002378,              0.0002378,              0.0002378
                    181,                   1.22,                0.59498,                0.86772,                0.85195,                 0.8185,                0.86618,                0.47278,                  1.723,                 1.1383,                0.98352,              0.0002279,              0.0002279,              0.0002279
                    182,                 1.2283,                0.60531,                0.87928,                0.87975,                0.79407,                0.87297,                0.47149,                 1.7298,                 1.1747,                0.98304,               0.000218,               0.000218,               0.000218
                    183,                 1.2095,                0.58741,                0.87526,                0.88524,                0.79756,                0.86839,                0.47363,                 1.7417,                 1.1462,                0.98276,              0.0002081,              0.0002081,              0.0002081
